ADDRESS,LOCATION_NAME,STREET_NAME,RACKS,SPACES,PLACEMENT,MO_INSTALLED,YR_INSTALLED,COORDINATES
939 ELLIS ST,Bay Area Air Quality Management District (BAAQMD),ELLIS,2,4,SW,8,1997,"ELLIS
(37.78346622, -122.42177834)"
1380 HOWARD ST,San Francisco Department of Public Health,HOWARD,1,2,SW,UK,1998,"HOWARD
(37.77445800, -122.41441100)"
1195 OAK ST,Oakside Cafe,OAK,1,2,SW,UK,2000,"OAK
(37.77273700, -122.43888700)"
1387 VALENCIA ST,Synergy School,VALENCIA,1,2,SW,UK,2000,"VALENCIA
(37.75087429, -122.42019976)"
180 TOWNSEND ST,Say Media ,TOWNSEND,1,2,SW,UK,2000,"TOWNSEND
(37.77936900, -122.39260600)"
247 FILLMORE ST,Metro Cafe,FILLMORE,1,2,SW,UK,2000,"FILLMORE
(37.77185018, -122.43065953)"
247 FILLMORE ST,Metro Cafe,FILLMORE,1,2,SW,UK,2000,"FILLMORE
(37.77185018, -122.43065953)"
2690 MISSION ST,Walgreens,MISSION,2,4,SW,UK,2000,"MISSION
(37.75402900, -122.41897400)"
400 MCALLISTER ST,Superior Court House,MCALLISTER,7,14,SW,UK,2000,"MCALLISTER
(37.78051900, -122.41901400)"
680 08TH ST,UK,08TH ST,1,2,SW,UK,2000,"08TH ST
(37.77012800, -122.40471900)"
101 TOWNSEND ST,UK,TOWNSEND,1,2,SW,UK,2000,"TOWNSEND
(37.78022600, -122.39046600)"
1186 FOLSOM ST,UK,FOLSOM,1,2,SW,UK,2000,"FOLSOM
(37.77547000, -122.40986600)"
1301 SANSOME ST,Pearson Education,SANSOME,1,2,SW,UK,2000,"SANSOME
(37.80232700, -122.40329800)"
1304 VALENCIA ST,Muddy Waters coffee shop,VALENCIA,1,2,SW,UK,2000,"VALENCIA
(37.75185100, -122.42093500)"
1380 VALENCIA ST,Apt/UK,VALENCIA,1,2,SW,UK,2000,"VALENCIA
(37.75080200, -122.42083400)"
1601 HOWARD ST,Sage Lounge,HOWARD,2,4,SW,UK,2000,"HOWARD
(37.77139400, -122.41678900)"
1700 FILBERT ST,MJB Coffee,FILBERT,1,2,SW,UK,2000,"FILBERT
(37.79928100, -122.42767400)"
1700 OCEAN AVE,Java on Ocean,OCEAN,1,2,SW,UK,2000,"OCEAN
(37.72498800, -122.46019200)"
201 GUERRERO ST,Studio Guell,GUERRERO,2,4,SW,UK,2000,"GUERRERO
(37.76785300, -122.42416700)"
2500 16TH ST,SF SPCA,16TH ST,1,2,SW,UK,2000,"16TH ST
(37.76582000, -122.41196800)"
2525 16TH ST,Lion Building,16TH ST,1,2,SW,UK,2000,"16TH ST
(37.76512100, -122.41189700)"
300 GOUGH ST,Walgreens,GOUGH,1,2,SW,UK,2000,"GOUGH
(37.77610400, -122.42266600)"
3232 16TH ST,Crazy Sushi,16TH ST,1,2,SW,UK,2000,"16TH ST
(37.76499000, -122.42490400)"
425 DIVISADERO ST,multiple,DIVISADERO,1,2,SW,UK,2000,"DIVISADERO
(37.77336400, -122.43787500)"
426 BRANNAN ST,Brickhouse Cafe,BRANNAN,1,2,SW,UK,2000,"BRANNAN
(37.77965400, -122.39523200)"
499 GUERRERO ST,Hom's Grocery & Liquor,GUERRERO,1,2,SW,UK,2000,"GUERRERO
(37.76329800, -122.42373000)"
501 DOLORES ST,Dolores Park Cafe,DOLORES,2,4,SW,UK,2000,"DOLORES
(37.76132000, -122.42571100)"
647 VALENCIA ST,Elbo Room bar,VALENCIA,1,2,SW,UK,2000,"VALENCIA
(37.76253500, -122.42145000)"
762 FULTON ST,African American Arts & Culture Complex,FULTON,1,2,SW,UK,2000,"FULTON
(37.77828200, -122.42925900)"
1 DR CARLTON B GOODLETT PL,City Hall,POLK,2,4,SW,UK,2002,"POLK
(37.77884600, -122.41903000)"
1000 MARKET ST,Community Housing Partnership San Cristina,MARKET,1,2,SW,UK,2002,"MARKET
(37.78204400, -122.41098900)"
1026 VALENCIA ST,Cafe Altano,VALENCIA,1,2,SW,UK,2002,"VALENCIA
(37.75641700, -122.42137200)"
