id,name,rank,parent_id,size
1,root,0,,2243655
2,Bacteria,2,131567,535432
29,Myxococcales,6,32015,700
31,Myxococcaceae,7,29,488
39,Archangiaceae,7,29,94
49,Polyangiaceae,7,3031712,144
112,Planctomycetales,6,203683,482
126,Planctomycetaceae,7,112,257
136,Spirochaetales,6,203692,1809
137,Spirochaetaceae,7,136,196
170,Leptospiraceae,7,1643688,751
356,Hyphomicrobiales,6,28211,35463
403,Methylococcaceae,7,135618,394
433,Acetobacteraceae,7,3120395,1114
444,Legionellaceae,7,118969,370
468,Moraxellaceae,7,2887326,7651
481,Neisseriaceae,7,206351,948
506,Alcaligenaceae,7,80840,2632
543,Enterobacteriaceae,7,91347,22563
641,Vibrionaceae,7,135623,15521
712,Pasteurellaceae,7,135625,873
766,Rickettsiales,6,28211,5833
772,Bartonellaceae,7,356,1521
775,Rickettsiaceae,7,766,1302
809,Chlamydiaceae,7,51291,98
815,Bacteroidaceae,7,171549,1014
868,Cardiobacteriaceae,7,135615,37
942,Anaplasmataceae,7,766,4378
972,Halanaerobiaceae,7,53433,65
976,Bacteroidota,4,3379134,23724
1046,Chromatiaceae,7,135613,734
1090,Chlorobiota,4,3379134,280
1106,Chloroflexaceae,7,32064,49
1117,Cyanobacteriota,4,1783272,23444
1118,Chroococcales,6,3028117,1489
1150,Oscillatoriales,6,3028117,2686
1161,Nostocales,6,3028117,9584
1162,Nostocaceae,7,1161,7079
1182,Scytonemataceae,7,1161,276
1185,Rivulariaceae,7,1161,123
1189,Stigonemataceae,7,1161,142
1213,Prochloraceae,7,1118,41
1224,Pseudomonadota,4,3379134,223572
1236,Gammaproteobacteria,5,1224,123990
1239,Bacillota,4,1783272,81187
1268,Micrococcaceae,7,85006,9914
1297,Deinococcota,4,3384194,792
1300,Streptococcaceae,7,186826,2676
1385,Bacillales,6,91061,56502
1653,Corynebacteriaceae,7,85007,1292
1760,Actinomycetes,5,201174,89260
1762,Mycobacteriaceae,7,85007,4632
2004,Streptosporangiaceae,7,85012,1599
2012,Thermomonosporaceae,7,85012,771
2037,Actinomycetales,6,1760,2174
2049,Actinomycetaceae,7,2037,851
2062,Streptomycetaceae,7,85011,31725
2070,Pseudonocardiaceae,7,85010,2693
